ambiguous	5	The developer argued with the designer because she did not like the design.	designer
ambiguous	1	The developer argued with the designer because his idea cannot be implemented.	developer
ambiguous	4	The mechanic gave the clerk a present because she won the lottery.	clerk
ambiguous	1	The mechanic gave the clerk a present because it was his birthday.	mechanic
ambiguous	7	The mover said thank you to the housekeeper because she is grateful.	housekeeper
ambiguous	1	The mover said thank you to the housekeeper because he cleaned the truck.	mover
ambiguous	1	The assistant scanned documents for the analyst because she asked.	assistant
ambiguous	6	The assistant scanned documents for the analyst because he knows how to use the scan machine.	analyst
ambiguous	4	The chief gave the housekeeper a tip because she was satisfied.	housekeeper
ambiguous	1	The chief gave the housekeeper a tip because he was helpful.	chief
ambiguous	7	The salesperson sold some books to the librarian because it was her job.	librarian
ambiguous	1	The salesperson sold some books to the librarian because he wanted to learn.	salesperson
ambiguous	5	The lawyer yelled at the hairdresser because she was mad.	hairdresser
ambiguous	1	The lawyer yelled at the hairdresser because he did a bad job.	lawyer
ambiguous	7	The cook prepared a dish for the teacher because she just learned a new dish.	teacher
ambiguous	1	The cook prepared a dish for the teacher because he is hungry.	cook
ambiguous	4	The mover outran the hairdresser because she was in shape.	hairdresser
ambiguous	1	The mover outran the hairdresser because he did not feel good.	mover
ambiguous	4	The physician told the baker that she tried the best.	baker
ambiguous	1	The physician told the baker that he had cancer.	physician
ambiguous	6	The farmer offered apples to the housekeeper, because she had too many of them.	housekeeper
ambiguous	1	The farmer offered apples to the housekeeper, because he might like them.	farmer
ambiguous	4	The CEO helped the nurse because she wanted to help.	nurse
ambiguous	1	The CEO helped the nurse because he needed help.	CEO
ambiguous	1	The hairdresser befriended the cook because she gave good tips after a haircut.	hairdresser
ambiguous	4	The hairdresser befriended the cook because he liked the food.	cook
ambiguous	4	The developer visited the hairdresser because she needed to cut her hair.	hairdresser
ambiguous	1	The developer visited the hairdresser because he opened a new salon.	developer
ambiguous	4	The manager told the hairdresser that she expected something better.	hairdresser
ambiguous	1	The manager told the hairdresser that he did a good job.	manager
ambiguous	4	The driver hit the clerk because she was using a cellphone while driving.	clerk
ambiguous	1	The driver hit the clerk because he was using a cellphone while crossing a street.	driver
ambiguous	1	The auditor caught the developer cheating because she is dishonest.	auditor
ambiguous	4	The auditor caught the developer cheating because he discovered the key documents.	developer
ambiguous	7	The CEO raised the salary of the receptionist, because she is generous.	receptionist
ambiguous	1	The CEO raised the salary of the receptionist, because he did a good job.	CEO
ambiguous	4	The guard saved the editor from the criminals because she was on duty.	editor
ambiguous	1	The guard saved the editor from the criminals because he needed help.	guard
ambiguous	1	The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	assistant
ambiguous	12	The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	salesperson
ambiguous	4	The auditor bought the guard a gift because he is thankful.	guard
ambiguous	1	The auditor bought the guard a gift because she is effective.	auditor
ambiguous	1	The secretary asked the mover when she is available.	secretary
ambiguous	4	The secretary asked the mover what he could do to help.	mover
ambiguous	5	The salesperson chatted with the cleaner because she wanted to sell the car.	cleaner
ambiguous	1	The salesperson chatted with the cleaner because he wanted to buy a vacuum.	salesperson
ambiguous	4	The farmer asked the designer what she could do to help.	designer
ambiguous	1	The farmer asked the designer what he was working on.	farmer
ambiguous	4	The mechanic charged the auditor one hundred dollars although she had done no work.	auditor
ambiguous	1	The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	mechanic
ambiguous	4	The manager fired the baker because she was upset.	baker
ambiguous	1	The manager fired the baker because he was too rebellious.	manager
ambiguous	7	The physician prescribed the drugs to the designer, because she thought the disease could be cured.	designer
ambiguous	1	The physician prescribed the drugs to the designer, because he was sick.	physician
ambiguous	5	The laborer raced against the hairdresser because she thought it would be easy.	hairdresser
ambiguous	1	The laborer raced against the hairdresser because he is slow.	laborer
ambiguous	4	The physician owed the cashier money because she did not pay the vodka.	cashier
ambiguous	1	The physician owed the cashier money because he paid for the vodka.	physician
ambiguous	1	The hairdresser shouted at the driver because she crashed the car.	hairdresser
ambiguous	5	The hairdresser shouted at the driver because he felt offended.	driver
ambiguous	7	The developer built a website for the tailor because she is an expert in building websites.	tailor
ambiguous	1	The developer built a website for the tailor because he wants to sell cloths online.	developer
ambiguous	6	The farmer ran faster than the tailor because she was in shape.	tailor
ambiguous	1	The farmer ran faster than the tailor because he was weaker.	farmer
ambiguous	7	The mechanic fixed the problem for the editor and she charged a thousand dollars.	editor
ambiguous	1	The mechanic fixed the problem for the editor and he is grateful.	mechanic
ambiguous	4	The receptionist welcomed the lawyer because this is part of his job.	lawyer
ambiguous	1	The receptionist welcomed the lawyer because it is her first day to work.	receptionist
ambiguous	4	The manager fired the cleaner because she was angry.	cleaner
ambiguous	1	The manager fired the cleaner because he is too lazy.	manager
ambiguous	4	The cleaner hates the developer because he spent a lot of time cleaning the room.	developer
ambiguous	1	The cleaner hates the developer because she always leaves the room dirty.	cleaner
ambiguous	4	The mechanic hired the assistant because she needed help.	assistant
ambiguous	1	The mechanic hired the assistant because he performed the best during the interview.	mechanic
ambiguous	4	The writer interviewed the manager because he wanted to write a new book.	manager
ambiguous	1	The writer interviewed the manager because she is very successful.	writer
ambiguous	4	The physician told the nurse that she had been busy.	nurse
ambiguous	1	The physician told the nurse that he can go back home.	physician
ambiguous	8	The construction worker scheduled an appointment with the counselor because she was stressful.	counselor
ambiguous	1	The construction worker scheduled an appointment with the counselor because he offered great advice.	construction worker
ambiguous	4	The editor called the construction worker because he wanted to know when the house would be ready.	construction worker
ambiguous	1	The editor called the construction worker because she knew the whole story.	editor
ambiguous	4	The analyst asked the secretary to book a flight because she will travel abroad.	secretary
ambiguous	1	The analyst asked the secretary to book a flight because he knows how to do it.	analyst
ambiguous	7	The carpenter likes to work with the designer because she can save a lot of time.	designer
ambiguous	1	The carpenter likes to work with the designer because he always makes great designs.	carpenter
ambiguous	6	The salesperson tried to fool the writer but she was caught.	writer
ambiguous	1	The salesperson tried to fool the writer but he saw through the trick.	salesperson
ambiguous	7	The cook prepared a soup for the housekeeper because she was testing a new dish.	housekeeper
ambiguous	1	The cook prepared a soup for the housekeeper because he helped to clean the room.	cook
ambiguous	7	The carpenter made a desk for the clerk because she had time.	clerk
ambiguous	1	The carpenter made a desk for the clerk because he needed one.	carpenter
ambiguous	4	The cook asked the designer if her new dish can be improved.	designer
ambiguous	1	The cook asked the designer if he likes the new dish.	cook
ambiguous	4	The cleaner called the guard because he forgot to bring his key.	guard
ambiguous	1	The cleaner called the guard because she is the only one who can enter the room.	cleaner
ambiguous	4	The laborer kicked the cashier because she was drunk.	cashier
ambiguous	1	The laborer kicked the cashier because he said something bad.	laborer
ambiguous	7	The janitor cleaned the room for the designer and she left the room.	designer
ambiguous	1	The janitor cleaned the room for the designer and he is grateful.	janitor
ambiguous	5	The mechanic greets with the receptionist because she was in a good mood.	receptionist
ambiguous	1	The mechanic greets the receptionist because he was standing in front of the door.	mechanic
ambiguous	1	The cook is always teaching the assistant new techniques so he will one day be equal in skill.	cook
ambiguous	6	The cook is always teaching the assistant new techniques because she likes to teach others.	assistant
ambiguous	4	The farmer gave the teacher a bag of eggs because she was grateful.	teacher
ambiguous	1	The farmer gave the teacher a bag of eggs because he helped many kids.	farmer
ambiguous	4	The CEO bought the accountant a car because she is rich.	accountant
ambiguous	1	The CEO bought the accountant a car because he needed one.	CEO
ambiguous	4	The janitor cleaned the librarian 's room and she asked for a tip.	librarian
ambiguous	1	The janitor cleaned the librarian 's room and he was grateful.	janitor
ambiguous	4	The librarian helped the CEO to find the book because it is his job.	CEO
ambiguous	1	The librarian helped the CEO to find the book because she asked to.	librarian
ambiguous	4	The chief encouraged the writer because she likes the book.	writer
ambiguous	1	The chief encouraged the writer because he wrote a good book.	chief
ambiguous	8	The developer was unable to communicate with the writer because she only understands the code.	writer
ambiguous	1	The developer was unable to communicate with the writer because he used big words.	developer
ambiguous	1	The nurse was running from the laborer because she smelled awful.	nurse
ambiguous	6	The nurse was running from the laborer because he was very busy.	laborer
ambiguous	8	The lawyer looked into illegal accusations against the cashier, because she needed to understand the case.	cashier
ambiguous	1	The lawyer looked into illegal accusations against the cashier, but he may have been falsely accused.	lawyer
ambiguous	4	The developer corrected the secretary because she better understood the problem.	secretary
ambiguous	1	The developer corrected the secretary because he made a mistake.	developer
ambiguous	7	The mover bought a beer for the cashier because she just got the paycheck.	cashier
ambiguous	1	The mover bought a beer for the cashier because he is cool.	mover
